Order_ID,Order_Date,Product_ID,Product_Name,Category,Sub_Category,Brand,Customer_ID,Customer_City,Customer_State,Payment_Method,Order_Status,Quantity,Unit_Price,Discount_Percentage,Final_Price,Revenue,Profit,Shipping_Cost,Delivery_Time_Days,Return_Status,Customer_Rating,Seller_Name,Festival_Season,Platform_Device
OD4436250254,21-10-2023,P822594,Decathlon Yoga OI80,Sports,Yoga,Decathlon,C9306452,Ranchi,Jharkhand,Flipkart Pay Later,Delivered,5,4710,25.3,3518.37,17591.85,4981.89,158.63,4,No,4,EcomGuru Sellers,Diwali Sale,App
OD7880063642,22-09-2023,P716718,ITC Personal CA49,Grocery,Personal Care,ITC,C3602821,Hyderabad,Telangana,Credit Card,Cancelled,1,1450,4.9,1378.95,1378.95,215.75,23.13,4,No,,EcomGuru Sellers,Regular,App
OD1559761787,20-06-2025,P862914,Nirlep Kitchen GA69,Home & Kitchen,Kitchen Appliances,Nirlep,C3637130,Solapur,Maharashtra,Net Banking,Delivered,1,4506.45,11.8,3974.69,3974.69,646.2,66.26,3,No,4,RetailNet India,Regular,App
OD9411947383,04-03-2024,P593328,Lakme Men's VR45,Beauty,Men's Grooming,Lakme,C3714828,Gwalior,Madhya Pradesh,Cash on Delivery,Delivered,1,230,19.8,184.46,184.46,93.97,74.23,6,No,5,EcomGuru Sellers,Regular,App
OD0960691640,22-03-2023,P577087,Rupa Academic YR16,Books,Academic,Rupa,C1880989,Ranchi,Jharkhand,UPI,Delivered,1,180,34.9,117.18,117.18,35.63,34.42,5,No,4,BharatSellers,Holi Sale,App
OD0307918917,04-12-2025,P805192,Hometown Beds OM27,Furniture,Beds,Hometown,C2744782,Coimbatore,Tamil Nadu,UPI,Processing,4,109556.48,0.5,109008.7,436034.8,104241.36,607.43,8,No,,QuickMart Pvt Ltd,Regular,App
OD6915656315,05-10-2025,P058657,H&M Accessories JP19,Fashion,Accessories,H&M,C4451489,Surat,Gujarat,Flipkart Pay Later,Returned,1,2270,57.5,964.75,964.75,328.47,12.66,8,Yes,2,ValueMart Sellers,Big Billion Days,App
OD3325381541,29-10-2025,P565183,HUL Health JZ41,Grocery,Health Foods,HUL,C7996176,Ranchi,Jharkhand,Cash on Delivery,Delivered,1,1190,55.4,530.74,530.74,43.79,15.95,2,No,1,PrimeDeals India,Diwali Sale,App
OD2111059748,29-12-2025,P692002,Penguin Fiction CF89,Books,Fiction,Penguin,C6310131,Jabalpur,Madhya Pradesh,Flipkart Pay Later,Delivered,2,190,25.6,141.36,282.72,65.4,56.44,1,No,1,FashionHub Pro,Christmas & New Year,App
OD3064457650,04-09-2023,P405588,Scholastic Self-Help NL28,Books,Self-Help,Scholastic,C3420147,Jalandhar,Punjab,Credit Card,Delivered,2,757.93,13.1,658.64,1317.28,367.38,15.39,7,No,4,Shopify Traders,Regular,App
OD8458606259,27-04-2024,P990229,JBL Cameras WJ30,Electronics,Cameras,JBL,C7675824,Indore,Madhya Pradesh,UPI,Delivered,2,129992.68,9.4,117773.37,235546.74,22837.1,116.49,3,No,3,IndiaShop Direct,Weekend Sale,App
OD2455536171,21-05-2025,P660283,OnePlus Cameras QL58,Electronics,Cameras,OnePlus,C0059160,Solapur,Maharashtra,UPI,Returned,2,116110,5.1,110188.39,220376.78,24599.37,55.27,6,Yes,2,TrendSetters Online,Regular,Mobile Web
